,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
69,0.4215,0.0,0.865,0.135,CBS,The biggest names in entertainment are coming together once again for #StandUpToCancer this Friday at 8/7c on @CBS… https://t.co/ntuGKLYvuW,2018-09-04 20:34:26+00:00,70
68,0.6908,0.0,0.467,0.533,CBS,"Thanks, @StephenAtHome. 
P.S. Nice beard. #LSSC https://t.co/wppVtfR9cL",2018-09-05 16:48:09+00:00,69
67,0.3612,0.0,0.889,0.111,CBS,Survivor host @JeffProbst is here to break down the theme of #Survivor: David vs. Goliath before the new season beg… https://t.co/8TcA200eFQ,2018-09-05 17:32:40+00:00,68
66,0.0,0.0,1.0,0.0,CBS,Here's everything you need to know before tuning into #StandUpToCancer this Friday at 8/7c: https://t.co/IT9ht84TZ1 https://t.co/OK4AOxw5mP,2018-09-05 21:00:00+00:00,67
65,0.4753,0.0,0.808,0.192,CBS,Here are @FBICBS’ @JeremySisto and @EboneeReigne with a powerful message before #StandUpToCancer airs tomorrow! https://t.co/OCqh91N1OO,2018-09-06 19:00:01+00:00,66
64,-0.296,0.121,0.879,0.0,CBS,Hollywood legend Burt Reynolds has passed away at the age of 82. He will be missed. https://t.co/HSmcJ9X9iC,2018-09-06 22:10:49+00:00,65
63,0.0,0.0,1.0,0.0,CBS,Tune in to a first-of-its-kind digital live show as lead up to @SU2C’s televised event tonight! The show will featu… https://t.co/hIVaLAXYmR,2018-09-07 21:50:51+00:00,64
62,-0.5411,0.196,0.712,0.092,CBS,"RT @cbsallaccess: Join #TellMeAStory's @daniellemcam, @BillyMagnussen &amp; Dorian Missick by standing up to cancer! Watch @SU2C tonight at 8/7…",2018-09-07 23:15:09+00:00,63
61,0.0,0.0,1.0,0.0,CBS,The star-studded event is about to begin! Tune in now to watch #StandUpToCancer on CBS and @cbsallaccess. https://t.co/cD8TJuQBog,2018-09-08 00:00:00+00:00,62
60,0.4215,0.0,0.851,0.149,CBS,An unforgettable night of inspiring stories and performances highlighting the 10 years of impact #StandUpToCancer c… https://t.co/8bp2XNKwfH,2018-09-08 16:20:43+00:00,61
59,0.6705,0.0,0.744,0.256,CBS,Are you ready for some football? 🏈 Stream your favorite NFL games LIVE on #CBSAllAccess today:… https://t.co/eHt8guHoyv,2018-09-09 14:00:00+00:00,60
