,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
67,-0.8957,0.41,0.59,0.0,The New York Times,"RT @MarkLandler: Tensions with China are about to get worse: Mike Pence to deliver a blistering assault on Chinese aggression, predatory lo…",2018-10-04 14:15:07+00:00,68
66,0.0,0.0,1.0,0.0,The New York Times,"In a video, Emmanuel Macron was seen as lecturing an out-of-work gardener to look harder for a job. ""If I crossed t… https://t.co/AENktC7iSM",2018-10-04 14:30:13+00:00,67
65,-0.5106,0.187,0.739,0.074,The New York Times,"Breaking News: Russian officers launched cyberattacks on inquiries into Russian doping, an ex-spy’s poisoning and t… https://t.co/SlJLclQyXO",2018-10-04 14:31:06+00:00,66
64,0.128,0.131,0.717,0.152,The New York Times,RT @ScottShaneNYT: 1/ Here's a remarkable update to the reconstruction of the Russian 2016 election attack I wrote with @MarkMazzettiNYT tw…,2018-10-04 14:33:50+00:00,65
63,0.0,0.0,1.0,0.0,The New York Times,"RT @ScottShaneNYT: 2/ Turns out that on December 19, 2016, the day the Electoral College confirmed Trump's victory, one of the Internet Res…",2018-10-04 14:34:10+00:00,64
62,0.0,0.0,1.0,0.0,The New York Times,"RT @ScottShaneNYT: 3/ And according to the estimable @DarrenLinvill of Clemson University, it was then retweeted by 26 other Russian accoun…",2018-10-04 14:34:27+00:00,63
61,0.4939,0.0,0.826,0.174,The New York Times,"By the Book: If you want a book to better understand America, Andre Dubus III, the author of “Gone So Long,” says,… https://t.co/m196cMr18r",2018-10-04 14:45:08+00:00,62
60,-0.0,0.107,0.744,0.149,The New York Times,RT @nytgraphics: A map of where China’s retaliatory tariffs threaten American jobs looks a lot like one that shows where voters backed Pres…,2018-10-04 15:00:13+00:00,61
59,0.4939,0.0,0.856,0.144,The New York Times,"As senators read FBI interview transcripts, the White House is confident that the new background check on Judge Bre… https://t.co/BZBegmkDQD",2018-10-04 15:10:07+00:00,60
58,0.6486,0.065,0.746,0.188,The New York Times,"RT @panphil: “It’s difficult to explain what Q means exactly,” says one teahouse manager. But ⁦@amyyqin⁩ explains it in all its delicious g…",2018-10-04 15:25:05+00:00,59
57,0.4854,0.0,0.804,0.196,The New York Times,"Barnes &amp; Noble announced that is considering putting itself up for sale, again. Shareholders are delighted but find… https://t.co/V90Zo8cfq7",2018-10-04 15:55:03+00:00,58
56,0.7964,0.0,0.717,0.283,The New York Times,"NBC gave Michael Schur total freedom. So the TV impresario made ""The Good Place,"" a sitcom that's also a profound w… https://t.co/aPANEleDon",2018-10-04 16:02:13+00:00,57
55,0.2263,0.092,0.773,0.135,The New York Times,Breaking News: 2 undecided GOP senators suggested they were satisfied with the FBI report on Brett Kavanaugh. Democ… https://t.co/VIBbVjUdDJ,2018-10-04 16:17:38+00:00,56
54,0.6808,0.0,0.728,0.272,The New York Times,"Meet the new MacArthur “genius” grant winners. The 25 recipients — scientists, artists, a lawyer and a journalist —… https://t.co/O4SoUkxZEL",2018-10-04 16:30:03+00:00,55
53,0.6808,0.0,0.641,0.359,The New York Times,See the full list of the MacArthur “Genius” Grant winners here:  https://t.co/AmAzQON1fA,2018-10-04 16:32:50+00:00,54
52,0.0,0.0,1.0,0.0,The New York Times,A new way to keep up with the 2018 campaign: Sign up to get messages from a Times political reporter. He’ll even ta… https://t.co/PKoBMv4jEC,2018-10-04 16:45:05+00:00,53
51,0.5719,0.0,0.837,0.163,The New York Times,"36 Hours in Nashville: Flourishing art and food scenes, and musical venues that celebrate new voices are just a few… https://t.co/MFLRYUn0x8",2018-10-04 16:50:07+00:00,52
50,0.34,0.0,0.893,0.107,The New York Times,"RT @MichaelPaulson: Hillary Clinton is coming to Broadway. As a character in a play. Here comes ""Hillary and Clinton,"" by Lucas Hnath, star…",2018-10-04 17:00:12+00:00,51
49,-0.1779,0.13,0.769,0.101,The New York Times,"He was miserable working at a law firm. So he decided to pursue comedy. A writer for the TV show ""Superstore"" share… https://t.co/qeQj06W40i",2018-10-04 17:10:06+00:00,50
48,-0.6124,0.279,0.625,0.096,The New York Times,Broken friendships. Lost teeth. There’s no one right way to grow up. So here are stories from people making mistake… https://t.co/1bsI9lL2Lk,2018-10-04 17:25:05+00:00,49
47,0.0,0.0,1.0,0.0,The New York Times,"RT @Nate_Cohn: Minnesota 2, probably final. Craig (D) 51, Lewis (R, inc) 39
This seat was already thought to lean Democratic, but there's n…",2018-10-04 17:35:03+00:00,48
46,0.0,0.0,1.0,0.0,The New York Times,Lawmakers reviewed the FBI’s findings from an inquiry into Judge Brett Kavanaugh’s background. Here’s what senators… https://t.co/6QZO552Uhs,2018-10-04 17:45:07+00:00,47
45,-0.4215,0.113,0.887,0.0,The New York Times,"RT @halophoenix: Need some juice, but no time to charge your phone? @WhitsonGordon explains the fastest way to charge your phone, today in…",2018-10-04 18:00:12+00:00,46
44,0.0,0.0,1.0,0.0,The New York Times,Lindsey Graham has been one of the biggest proponents of President Trump’s crackdown on China. But behind the scene… https://t.co/kAXPQkULEY,2018-10-04 18:10:07+00:00,45
43,-0.2732,0.104,0.896,0.0,The New York Times,"The Neanderthals probably infected modern humans with viruses, perhaps even an ancient form of HIV. But our extinct… https://t.co/2XvK2XTfco",2018-10-04 18:25:06+00:00,44
